date,home,visitor,FT,hgoal,vgoal,comp_season,cup,shootout_winner
1994-01-04,Real Madrid,Atlético Madrid,2-2,2,2,1993-94,Copa del Rey,
1994-01-04,Sporting de Gijón,Barcelona,0-3,0,3,1993-94,Copa del Rey,
1994-01-05,Deportivo La Coruña,Real Oviedo,1-3,1,3,1993-94,Copa del Rey,
1994-01-05,Espanyol,Sevilla,0-1,0,1,1993-94,Copa del Rey,
1994-01-05,Logroñés,Celta Vigo,1-0,1,0,1993-94,Copa del Rey,
1994-01-05,Tenerife,Valencia,3-1,3,1,1993-94,Copa del Rey,
1994-01-06,Badajoz,Real Zaragoza,1-0,1,0,1993-94,Copa del Rey,
1994-01-06,Real Betis,Mérida,3-1,3,1,1993-94,Copa del Rey,
1994-01-12,Barcelona,Sporting de Gijón,1-1,1,1,1993-94,Copa del Rey,
1994-01-12,Celta Vigo,Logroñés,1-0,1,0,1993-94,Copa del Rey,
1994-01-12,Mérida,Real Betis,1-1,1,1,1993-94,Copa del Rey,
1994-01-12,Real Oviedo,Deportivo La Coruña,0-1,0,1,1993-94,Copa del Rey,
1994-01-12,Real Zaragoza,Badajoz,3-0,3,0,1993-94,Copa del Rey,
1994-01-12,Sevilla,Espanyol,2-2,2,2,1993-94,Copa del Rey,
1994-01-12,Valencia,Tenerife,3-2,3,2,1993-94,Copa del Rey,
1994-01-13,Atlético Madrid,Real Madrid,2-3,2,3,1993-94,Copa del Rey,
1994-01-25,Tenerife,Real Madrid,2-1,2,1,1993-94,Copa del Rey,
1994-01-26,Real Betis,Barcelona,0-0,0,0,1993-94,Copa del Rey,
1994-01-26,Real Oviedo,Celta Vigo,1-0,1,0,1993-94,Copa del Rey,
1994-01-26,Real Zaragoza,Sevilla,2-1,2,1,1993-94,Copa del Rey,
1994-02-01,Real Madrid,Tenerife,0-3,0,3,1993-94,Copa del Rey,
1994-02-02,Celta Vigo,Real Oviedo,5-0,5,0,1993-94,Copa del Rey,
1994-02-02,Sevilla,Real Zaragoza,1-1,1,1,1993-94,Copa del Rey,
1994-02-03,Barcelona,Real Betis,0-1,0,1,1993-94,Copa del Rey,
1994-02-16,Celta Vigo,Tenerife,3-0,3,0,1993-94,Copa del Rey,
1994-02-17,Real Betis,Real Zaragoza,0-1,0,1,1993-94,Copa del Rey,
1994-03-09,Real Zaragoza,Real Betis,3-1,3,1,1993-94,Copa del Rey,
1994-03-10,Tenerife,Celta Vigo,2-2,2,2,1993-94,Copa del Rey,
1994-04-20,Celta Vigo,Real Zaragoza,0-0,0,0,1993-94,Copa del Rey,Real Zaragoza
1995-02-07,FC Barcelona,Atlético de Madrid,1-4,1,4,1994-95,Copa del Rey,
1995-02-08,Albacete Balompié,Real Zaragoza,2-1,2,1,1994-95,Copa del Rey,
1995-02-08,Athletic Bilbao,Real Betis,4-0,4,0,1994-95,Copa del Rey,
1995-02-08,CD Toledo,RCD Mallorca,1-1,1,1,1994-95,Copa del Rey,
1995-02-08,Palamós CF,Rayo Vallecano,0-1,0,1,1994-95,Copa del Rey,
1995-02-08,Sporting de Gijón,CD Badajoz,1-1,1,1,1994-95,Copa del Rey,
1995-02-08,UE Lleida,Deportivo de La Coruña,0-3,0,3,1994-95,Copa del Rey,
1995-02-09,Real Madrid CF,Valencia CF,1-2,1,2,1994-95,Copa del Rey,
1995-02-14,Atlético de Madrid,FC Barcelona,1-3,1,3,1994-95,Copa del Rey,
1995-02-15,CD Badajoz,Sporting de Gijón,0-3,0,3,1994-95,Copa del Rey,
1995-02-15,Deportivo de La Coruña,UE Lleida,4-1,4,1,1994-95,Copa del Rey,
1995-02-15,RCD Mallorca,CD Toledo,2-0,2,0,1994-95,Copa del Rey,
1995-02-15,Rayo Vallecano,Palamós CF,1-1,1,1,1994-95,Copa del Rey,
1995-02-15,Real Betis,Athletic Bilbao,1-0,1,0,1994-95,Copa del Rey,
1995-02-15,Real Zaragoza,Albacete Balompié,1-1,1,1,1994-95,Copa del Rey,
1995-02-16,Valencia CF,Real Madrid CF,2-1,2,1,1994-95,Copa del Rey,
1995-03-07,Atlético de Madrid,Albacete Balompié,1-1,1,1,1994-95,Copa del Rey,
1995-03-08,RCD Mallorca,Valencia CF,1-0,1,0,1994-95,Copa del Rey,
1995-03-08,Sporting de Gijón,Rayo Vallecano,1-1,1,1,1994-95,Copa del Rey,
1995-03-09,Deportivo de La Coruña,Athletic Bilbao,3-0,3,0,1994-95,Copa del Rey,
1995-03-21,Athletic Bilbao,Deportivo de La Coruña,0-0,0,0,1994-95,Copa del Rey,
1995-03-22,Rayo Vallecano,Sporting de Gijón,0-1,0,1,1994-95,Copa del Rey,
1995-03-22,Valencia CF,RCD Mallorca,4-0,4,0,1994-95,Copa del Rey,
1995-03-23,Albacete Balompié,Atlético de Madrid,1-0,1,0,1994-95,Copa del Rey,
1995-05-30,Sporting de Gijón,Deportivo de La Coruña,0-2,0,2,1994-95,Copa del Rey,
1995-05-31,Valencia CF,Albacete Balompié,1-1,1,1,1994-95,Copa del Rey,
1995-06-13,Albacete Balompié,Valencia CF,1-2,1,2,1994-95,Copa del Rey,
1995-06-14,Deportivo de La Coruña,Sporting de Gijón,0-1,0,1,1994-95,Copa del Rey,
1995-06-24,Deportivo de La Coruña,Valencia CF,1-1,1,1,1994-95,Copa del Rey,
1995-06-27,Deportivo de La Coruña,Valencia CF,2-1,2,1,1994-95,Copa del Rey,
1995-11-28,Atlético Madrid,CP Mérida,4-1,4,1,1995-96,Copa del Rey,
1995-11-29,CD Leganés,RCD Espanyol,0-1,0,1,1995-96,Copa del Rey,
1995-11-29,CD Numancia,Racing Santander,0-0,0,0,1995-96,Copa del Rey,
1995-11-29,FC Andorra,Celta Vigo,0-5,0,5,1995-96,Copa del Rey,
1995-11-29,Hércules CF,Rayo Vallecano,1-1,1,1,1995-96,Copa del Rey,
1995-11-29,Levante UD,CD Tenerife,1-0,1,0,1995-96,Copa del Rey,
1995-11-29,SD Compostela,Real Valladolid,1-0,1,0,1995-96,Copa del Rey,
1995-11-29,UD Salamanca,Athletic Bilbao,0-0,0,0,1995-96,Copa del Rey,
1995-11-29,Écija Balompié,Sporting Gijón,2-0,2,0,1995-96,Copa del Rey,
1995-11-30,Real Oviedo,Valencia CF,1-1,1,1,1995-96,Copa del Rey,
1995-12-12,Valencia CF,Real Oviedo,1-0,1,0,1995-96,Copa del Rey,
1995-12-13,CD Tenerife,Levante UD,6-1,6,1,1995-96,Copa del Rey,
1995-12-13,CP Mérida,Atlético Madrid,4-4,4,4,1995-96,Copa del Rey,
1995-12-13,Celta Vigo,FC Andorra,2-0,2,0,1995-96,Copa del Rey,
1995-12-13,RCD Espanyol,CD Leganés,5-1,5,1,1995-96,Copa del Rey,
1995-12-13,Racing Santander,CD Numancia,0-1,0,1,1995-96,Copa del Rey,
1995-12-13,Rayo Vallecano,Hércules CF,0-1,0,1,1995-96,Copa del Rey,
1995-12-13,Real Valladolid,SD Compostela,1-1,1,1,1995-96,Copa del Rey,
1995-12-13,Sporting Gijón,Écija Balompié,5-0,5,0,1995-96,Copa del Rey,
1995-12-14,Athletic Bilbao,UD Salamanca,3-1,3,1,1995-96,Copa del Rey,
1996-01-09,Atlético Madrid,Betis,1-1,1,1,1995-96,Copa del Rey,
1996-01-10,Athletic Bilbao,Zaragoza,2-3,2,3,1995-96,Copa del Rey,
1996-01-10,Celta Vigo,Valencia,1-1,1,1,1995-96,Copa del Rey,
1996-01-10,Deportivo La Coruña,Tenerife,1-1,1,1,1995-96,Copa del Rey,
1996-01-10,Hércules,Barcelona,0-0,0,0,1995-96,Copa del Rey,
1996-01-10,Numancia,Sporting Gijón,2-1,2,1,1995-96,Copa del Rey,
1996-01-10,Sevilla,Compostela,2-1,2,1,1995-96,Copa del Rey,
1996-01-11,Espanyol,Real Madrid,4-1,4,1,1995-96,Copa del Rey,
1996-01-16,Betis,Atlético Madrid,1-2,1,2,1995-96,Copa del Rey,
1996-01-17,Barcelona,Hércules,4-1,4,1,1995-96,Copa del Rey,
1996-01-17,Compostela,Sevilla,0-1,0,1,1995-96,Copa del Rey,
1996-01-17,Sporting Gijón,Numancia,0-0,0,0,1995-96,Copa del Rey,
1996-01-17,Tenerife,Deportivo La Coruña,2-1,2,1,1995-96,Copa del Rey,
1996-01-17,Valencia,Celta Vigo,3-0,3,0,1995-96,Copa del Rey,
1996-01-17,Zaragoza,Athletic Bilbao,0-1,0,1,1995-96,Copa del Rey,
1996-01-18,Real Madrid,Espanyol,2-1,2,1,1995-96,Copa del Rey,
1996-01-30,Sevilla,Valencia,1-1,1,1,1995-96,Copa del Rey,
1996-01-31,Espanyol,Zaragoza,0-0,0,0,1995-96,Copa del Rey,
1996-01-31,Tenerife,Atlético Madrid,0-0,0,0,1995-96,Copa del Rey,
1996-02-01,Numancia,Barcelona,2-2,2,2,1995-96,Copa del Rey,
1996-02-13,Valencia,Sevilla,2-0,2,0,1995-96,Copa del Rey,
1996-02-14,Barcelona,Numancia,3-1,3,1,1995-96,Copa del Rey,
1996-02-14,Zaragoza,Espanyol,1-1,1,1,1995-96,Copa del Rey,
1996-02-15,Atlético Madrid,Tenerife,3-0,3,0,1995-96,Copa del Rey,
1996-02-21,Valencia,Atlético Madrid,3-5,3,5,1995-96,Copa del Rey,
1996-02-22,Barcelona,Espanyol,1-0,1,0,1995-96,Copa del Rey,
1996-02-28,Espanyol,Barcelona,2-3,2,3,1995-96,Copa del Rey,
1996-02-29,Atlético Madrid,Valencia,1-2,1,2,1995-96,Copa del Rey,
1996-04-10,Barcelona,Atlético Madrid,0-1,0,1,1995-96,Copa del Rey,
1997-01-28,Deportivo La Coruña,Espanyol,2-2,2,2,1996-97,Copa del Rey,
1997-01-29,Atlético Madrid,Compostela,2-0,2,0,1996-97,Copa del Rey,
1997-01-29,Las Palmas,Valencia,0-2,0,2,1996-97,Copa del Rey,
1997-01-29,Lleida,Celta Vigo,1-1,1,1,1996-97,Copa del Rey,
1997-01-29,Racing Santander,Athletic Bilbao,1-0,1,0,1996-97,Copa del Rey,
1997-01-29,Rayo Vallecano,Extremadura,2-2,2,2,1996-97,Copa del Rey,
1997-01-30,Barcelona,Real Madrid,3-2,3,2,1996-97,Copa del Rey,
1997-01-30,Tenerife,Real Betis,0-2,0,2,1996-97,Copa del Rey,
1997-02-04,Compostela,Atlético Madrid,2-3,2,3,1996-97,Copa del Rey,
1997-02-05,Athletic Bilbao,Racing Santander,1-1,1,1,1996-97,Copa del Rey,
1997-02-05,Celta Vigo,Lleida,0-0,0,0,1996-97,Copa del Rey,
1997-02-05,Espanyol,Deportivo La Coruña,0-0,0,0,1996-97,Copa del Rey,
1997-02-05,Real Betis,Tenerife,3-0,3,0,1996-97,Copa del Rey,
1997-02-05,Valencia,Las Palmas,0-2,0,2,1996-97,Copa del Rey,
1997-02-06,Extremadura,Rayo Vallecano,1-2,1,2,1996-97,Copa del Rey,
1997-02-06,Real Madrid,Barcelona,1-1,1,1,1996-97,Copa del Rey,
1997-02-26,Atlético Madrid,Barcelona,2-2,2,2,1996-97,Copa del Rey,
1997-02-26,Real Betis,Rayo Vallecano,2-0,2,0,1996-97,Copa del Rey,
1997-02-27,Las Palmas,Espanyol,0-0,0,0,1996-97,Copa del Rey,
1997-02-27,Racing Santander,Celta Vigo,1-2,1,2,1996-97,Copa del Rey,
1997-03-12,Barcelona,Atlético Madrid,5-4,5,4,1996-97,Copa del Rey,
1997-03-12,Espanyol,Las Palmas,1-1,1,1,1996-97,Copa del Rey,
1997-03-13,Celta Vigo,Racing Santander,1-0,1,0,1996-97,Copa del Rey,
1997-03-13,Rayo Vallecano,Real Betis,1-2,1,2,1996-97,Copa del Rey,
1997-03-25,Real Betis,Celta Vigo,1-0,1,0,1996-97,Copa del Rey,
1997-03-26,Las Palmas,Barcelona,0-4,0,4,1996-97,Copa del Rey,
1997-04-02,Celta Vigo,Real Betis,1-1,1,1,1996-97,Copa del Rey,
1997-04-03,Barcelona,Las Palmas,3-0,3,0,1996-97,Copa del Rey,
1997-06-28,Barcelona,Real Betis,3-2,3,2,1996-97,Copa del Rey,
1998-01-13,Alavés,Real Madrid,1-0,1,0,1997-98,Copa del Rey,
1998-01-14,Extremadura,Athletic Bilbao,2-0,2,0,1997-98,Copa del Rey,
1998-01-14,Mallorca,Celta Vigo,1-0,1,0,1997-98,Copa del Rey,
1998-01-14,Osasuna,Deportivo La Coruña,0-1,0,1,1997-98,Copa del Rey,
1998-01-14,Real Sociedad,Betis,0-2,0,2,1997-98,Copa del Rey,
1998-01-14,Valladolid,Mérida,1-1,1,1,1997-98,Copa del Rey,
1998-01-14,Zaragoza,Atlético Madrid,2-0,2,0,1997-98,Copa del Rey,
1998-01-15,Barcelona,Valencia,2-1,2,1,1997-98,Copa del Rey,
1998-01-20,Atlético Madrid,Zaragoza,2-1,2,1,1997-98,Copa del Rey,
1998-01-21,Athletic Bilbao,Extremadura,4-1,4,1,1997-98,Copa del Rey,
1998-01-21,Betis,Real Sociedad,1-1,1,1,1997-98,Copa del Rey,
1998-01-21,Celta Vigo,Mallorca,2-1,2,1,1997-98,Copa del Rey,
1998-01-21,Deportivo La Coruña,Osasuna,2-1,2,1,1997-98,Copa del Rey,
1998-01-21,Mérida,Valladolid,3-1,3,1,1997-98,Copa del Rey,
1998-01-21,Real Madrid,Alavés,2-1,2,1,1997-98,Copa del Rey,
1998-01-22,Valencia,Barcelona,1-3,1,3,1997-98,Copa del Rey,
1998-02-03,Athletic Bilbao,Mallorca,2-1,2,1,1997-98,Copa del Rey,
1998-02-04,Alavés,Deportivo La Coruña,3-1,3,1,1997-98,Copa del Rey,
1998-02-04,Zaragoza,Betis,3-0,3,0,1997-98,Copa del Rey,
1998-02-05,Barcelona,Mérida,2-0,2,0,1997-98,Copa del Rey,
1998-02-10,Mallorca,Athletic Bilbao,1-0,1,0,1997-98,Copa del Rey,
1998-02-11,Deportivo La Coruña,Alavés,0-0,0,0,1997-98,Copa del Rey,
1998-02-11,Mérida,Barcelona,0-3,0,3,1997-98,Copa del Rey,
1998-02-12,Betis,Zaragoza,2-2,2,2,1997-98,Copa del Rey,
1998-02-18,Barcelona,Zaragoza,5-2,5,2,1997-98,Copa del Rey,
1998-02-19,Alavés,Mallorca,1-2,1,2,1997-98,Copa del Rey,
1998-02-25,Mallorca,Alavés,1-0,1,0,1997-98,Copa del Rey,
1998-02-26,Zaragoza,Barcelona,0-0,0,0,1997-98,Copa del Rey,
1998-04-29,Barcelona,Mallorca,1-1,1,1,1997-98,Copa del Rey,Barcelona
1999-06-26,Atlético Madrid,Valencia,0-3,0,3,1998-99,Copa del Rey,
2000-05-27,Atlético Madrid,Espanyol,1-2,1,2,1999-00,Copa del Rey,
2001-01-10,CD Leganés,Celta de Vigo,1-2,1,2,2000-01,Copa del Rey,
2001-01-10,CD Tenerife,RCD Mallorca,0-2,0,2,2000-01,Copa del Rey,
2001-01-10,CF Extremadura,RCD Espanyol,1-1,1,1,2000-01,Copa del Rey,
2001-01-10,Gimnástica de Torrelavega,FC Barcelona,0-1,0,1,2000-01,Copa del Rey,
2001-01-10,Guadix CF,Granada CF,0-0,0,0,2000-01,Copa del Rey,
2001-01-10,Racing de Santander,Athletic Bilbao,2-0,2,0,2000-01,Copa del Rey,
2001-01-10,Real Murcia CF,Real Zaragoza,2-3,2,3,2000-01,Copa del Rey,
2001-01-11,Atlético de Madrid,Rayo Vallecano,2-2,2,2,2000-01,Copa del Rey,
2001-01-16,FC Barcelona,Gimnástica de Torrelavega,0-0,0,0,2000-01,Copa del Rey,
2001-01-17,Athletic Bilbao,Racing de Santander,0-0,0,0,2000-01,Copa del Rey,
2001-01-17,Celta de Vigo,CD Leganés,0-1,0,1,2000-01,Copa del Rey,
2001-01-17,Granada CF,Guadix CF,0-0,0,0,2000-01,Copa del Rey,Granada CF
2001-01-17,RCD Espanyol,CF Extremadura,1-0,1,0,2000-01,Copa del Rey,
2001-01-17,RCD Mallorca,CD Tenerife,2-0,2,0,2000-01,Copa del Rey,
2001-01-17,Rayo Vallecano,Atletico de Madrid,0-2,0,2,2000-01,Copa del Rey,
2001-01-17,Real Zaragoza,Real Murcia CF,4-1,4,1,2000-01,Copa del Rey,
2001-01-30,RCD Espanyol,FC Barcelona,1-2,1,2,2000-01,Copa del Rey,
2001-01-31,Celta de Vigo,RCD Mallorca,3-1,3,1,2000-01,Copa del Rey,
2001-01-31,Granada CF,Atlético de Madrid,0-1,0,1,2000-01,Copa del Rey,
2001-01-31,Racing de Santander,Real Zaragoza,1-1,1,1,2000-01,Copa del Rey,
2001-02-06,Atlético de Madrid,Granada CF,3-1,3,1,2000-01,Copa del Rey,
2001-02-07,FC Barcelona,RCD Espanyol,1-1,1,1,2000-01,Copa del Rey,
2001-02-07,RCD Mallorca,Celta de Vigo,2-1,2,1,2000-01,Copa del Rey,
2001-02-07,Real Zaragoza,Racing de Santander,2-0,2,0,2000-01,Copa del Rey,
2001-06-20,Atlético de Madrid,Real Zaragoza,0-2,0,2,2000-01,Copa del Rey,
2001-06-21,Celta de Vigo,FC Barcelona,3-1,3,1,2000-01,Copa del Rey,
2001-06-23,Real Zaragoza,Atlético de Madrid,0-1,0,1,2000-01,Copa del Rey,
2001-06-24,FC Barcelona,Celta de Vigo,1-1,1,1,2000-01,Copa del Rey,
2001-06-30,Celta de Vigo,Real Zaragoza,1-3,1,3,2000-01,Copa del Rey,
2001-12-12,Badajoz,Real Valladolid,1-3,1,3,2001-02,Copa del Rey,
2001-12-12,Ciudad de Murcia,Rayo Vallecano,0-0,0,0,2001-02,Copa del Rey,
2001-12-12,Córdoba,Mallorca,2-1,2,1,2001-02,Copa del Rey,
2001-12-12,Figueres,Novelda,2-1,2,1,2001-02,Copa del Rey,
2001-12-12,Gimnàstic de Tarragona,Real Madrid,1-0,1,0,2001-02,Copa del Rey,
2001-12-12,Salamanca,Athletic Bilbao,2-2,2,2,2001-02,Copa del Rey,
2001-12-12,Sporting Gijón,Villarreal,2-4,2,4,2001-02,Copa del Rey,
2001-12-18,Real Madrid,Gimnàstic de Tarragona,4-2,4,2,2001-02,Copa del Rey,
2001-12-19,Athletic Bilbao,Salamanca,2-0,2,0,2001-02,Copa del Rey,
2001-12-19,Mallorca,Córdoba,1-1,1,1,2001-02,Copa del Rey,
2001-12-19,Novelda,Figueres,0-0,0,0,2001-02,Copa del Rey,
2001-12-19,Rayo Vallecano,Ciudad de Murcia,1-0,1,0,2001-02,Copa del Rey,
2001-12-19,Real Valladolid,Badajoz,3-0,3,0,2001-02,Copa del Rey,
2001-12-19,Villarreal,Sporting Gijón,3-1,3,1,2001-02,Copa del Rey,
2002-01-08,Real Madrid,Rayo Vallecano,4-0,4,0,2001-02,Copa del Rey,
2002-01-09,Córdoba,Figueres,0-2,0,2,2001-02,Copa del Rey,
2002-01-09,Deportivo La Coruña,Real Valladolid,2-0,2,0,2001-02,Copa del Rey,
2002-01-09,Villarreal,Athletic Bilbao,0-2,0,2,2001-02,Copa del Rey,
2002-01-15,Athletic Bilbao,Villarreal,1-0,1,0,2001-02,Copa del Rey,
2002-01-16,Figueres,Córdoba,0-0,0,0,2001-02,Copa del Rey,
2002-01-16,Rayo Vallecano,Real Madrid,1-0,1,0,2001-02,Copa del Rey,
2002-01-16,Real Valladolid,Deportivo La Coruña,2-1,2,1,2001-02,Copa del Rey,
2002-01-23,Athletic Bilbao,Real Madrid,2-1,2,1,2001-02,Copa del Rey,
2002-01-24,Figueres,Deportivo La Coruña,0-1,0,1,2001-02,Copa del Rey,
2002-01-30,Deportivo La Coruña,Figueres,1-1,1,1,2001-02,Copa del Rey,
2002-01-30,Real Madrid,Athletic Bilbao,3-0,3,0,2001-02,Copa del Rey,
2002-03-06,Real Madrid,Deportivo La Coruña,1-2,1,2,2001-02,Copa del Rey,
2003-01-07,Alicante CF,Deportivo La Coruña,1-1,1,1,2002-03,Copa del Rey,
2003-01-08,CD Numancia,Sevilla FC,1-3,1,3,2002-03,Copa del Rey,
2003-01-08,RCD Mallorca,Real Valladolid,2-2,2,2,2002-03,Copa del Rey,
2003-01-08,Real Betis,Recreativo de Huelva,0-0,0,0,2002-03,Copa del Rey,
2003-01-08,Real Murcia,Deportivo Alavés,0-0,0,0,2002-03,Copa del Rey,
2003-01-08,Real Unión,CA Osasuna,0-4,0,4,2002-03,Copa del Rey,
2003-01-08,Terrassa FC,Real Madrid,3-3,3,3,2002-03,Copa del Rey,
2003-01-08,Xerez CD,Atlético Madrid,0-1,0,1,2002-03,Copa del Rey,
2003-01-22,Deportivo La Coruña,Real Murcia,1-0,1,0,2002-03,Copa del Rey,
2003-01-22,Recreativo de Huelva,Atlético Madrid,1-0,1,0,2002-03,Copa del Rey,
2003-01-22,Sevilla FC,CA Osasuna,1-1,1,1,2002-03,Copa del Rey,
2003-01-23,Real Madrid,RCD Mallorca,1-1,1,1,2002-03,Copa del Rey,
2003-01-28,Atlético Madrid,Recreativo de Huelva,0-0,0,0,2002-03,Copa del Rey,
2003-01-29,CA Osasuna,Sevilla FC,3-2,3,2,2002-03,Copa del Rey,
2003-01-29,RCD Mallorca,Real Madrid,4-0,4,0,2002-03,Copa del Rey,
2003-01-30,Real Murcia,Deportivo La Coruña,4-3,4,3,2002-03,Copa del Rey,
2003-02-05,Deportivo La Coruña,RCD Mallorca,2-3,2,3,2002-03,Copa del Rey,
2003-02-06,Recreativo de Huelva,CA Osasuna,2-0,2,0,2002-03,Copa del Rey,
2003-03-05,CA Osasuna,Recreativo de Huelva,2-2,2,2,2002-03,Copa del Rey,
2003-03-05,RCD Mallorca,Deportivo La Coruña,1-1,1,1,2002-03,Copa del Rey,
2003-06-28,Recreativo de Huelva,RCD Mallorca,0-3,0,3,2002-03,Copa del Rey,
2004-01-21,Real Madrid,Valencia,3-0,3,0,2003-04,Copa del Rey,
2004-01-21,Sevilla,Atlético Madrid,4-0,4,0,2003-04,Copa del Rey,
2004-01-22,Alavés,Celta Vigo,4-2,4,2,2003-04,Copa del Rey,
2004-01-22,Barcelona,Zaragoza,0-1,0,1,2003-04,Copa del Rey,
2004-01-28,Atlético Madrid,Sevilla,1-2,1,2,2003-04,Copa del Rey,
2004-01-28,Celta Vigo,Alavés,1-0,1,0,2003-04,Copa del Rey,
2004-01-28,Valencia,Real Madrid,1-2,1,2,2003-04,Copa del Rey,
2004-01-29,Zaragoza,Barcelona,1-1,1,1,2003-04,Copa del Rey,
2004-02-04,Real Madrid,Sevilla,2-0,2,0,2003-04,Copa del Rey,
2004-02-05,Alavés,Zaragoza,1-1,1,1,2003-04,Copa del Rey,
2004-02-11,Sevilla,Real Madrid,1-0,1,0,2003-04,Copa del Rey,
2004-02-12,Zaragoza,Alavés,0-0,0,0,2003-04,Copa del Rey,
2004-03-17,Real Madrid,Zaragoza,2-3,2,3,2003-04,Copa del Rey,
2005-01-11,Recreativo de Huelva,Sevilla FC,0-2,0,2,2004-05,Copa del Rey,
2005-01-11,UDA Gramenet,UE Lleida,2-0,2,0,2004-05,Copa del Rey,
2005-01-18,UE Lleida,UDA Gramenet,1-0,1,0,2004-05,Copa del Rey,
2005-01-25,Athletic Bilbao,Real Valladolid,3-2,3,2,2004-05,Copa del Rey,
2005-01-26,Sevilla,Osasuna,2-1,2,1,2004-05,Copa del Rey,
2005-01-27,Gramenet,Real Betis,2-2,2,2,2004-05,Copa del Rey,
2005-02-02,Numancia,Atlético Madrid,0-0,0,0,2004-05,Copa del Rey,
2005-02-02,Osasuna,Sevilla,3-1,3,1,2004-05,Copa del Rey,
2005-02-02,Real Betis,Gramenet,4-3,4,3,2004-05,Copa del Rey,
2005-02-03,Real Valladolid,Athletic Bilbao,0-1,0,1,2004-05,Copa del Rey,
2005-02-16,Atlético Madrid,Numancia,1-0,1,0,2004-05,Copa del Rey,
2005-04-20,Osasuna,Atlético Madrid,1-0,1,0,2004-05,Copa del Rey,
2005-04-21,Real Betis,Athletic Bilbao,0-0,0,0,2004-05,Copa del Rey,
2005-05-11,Athletic Bilbao,Real Betis,0-0,0,0,2004-05,Copa del Rey,Real Betis
2005-05-12,Atlético Madrid,Osasuna,0-0,0,0,2004-05,Copa del Rey,
2005-06-11,Osasuna,Real Betis,1-2,1,2,2004-05,Copa del Rey,
2006-01-18,Betis,Real Madrid,0-1,0,1,2005-06,Copa del Rey,
2006-01-18,Cádiz,Espanyol,0-2,0,2,2005-06,Copa del Rey,
2006-01-19,Deportivo,Valencia,1-0,1,0,2005-06,Copa del Rey,
2006-01-25,Espanyol,Cádiz,2-0,2,0,2005-06,Copa del Rey,
2006-01-25,Real Madrid,Betis,1-0,1,0,2005-06,Copa del Rey,
2006-01-26,Zaragoza,Barcelona,4-2,4,2,2005-06,Copa del Rey,
2006-02-01,Barcelona,Zaragoza,2-1,2,1,2005-06,Copa del Rey,
2006-02-01,Valencia,Deportivo,1-1,1,1,2005-06,Copa del Rey,
2006-02-08,Zaragoza,Real Madrid,6-1,6,1,2005-06,Copa del Rey,
2006-02-09,Espanyol,Deportivo,2-1,2,1,2005-06,Copa del Rey,
2006-02-14,Real Madrid,Zaragoza,4-0,4,0,2005-06,Copa del Rey,
2006-03-15,Deportivo,Espanyol,0-0,0,0,2005-06,Copa del Rey,
2006-04-12,Espanyol,Real Zaragoza,4-1,4,1,2005-06,Copa del Rey,
2007-04-18,Barcelona,Getafe,5-2,5,2,2006-07,Copa del Rey,
2007-04-19,Deportivo,Sevilla,0-3,0,3,2006-07,Copa del Rey,
2007-05-09,Sevilla,Deportivo,2-0,2,0,2006-07,Copa del Rey,
2007-05-10,Getafe,Barcelona,4-0,4,0,2006-07,Copa del Rey,
2007-06-23,Sevilla,Getafe,1-0,1,0,2006-07,Copa del Rey,
2008-04-16,Getafe,Valencia,1-3,1,3,2007-08,Copa del Rey,
2008-08-23,Real Oviedo,Pontevedra,2-0,2,0,2008-09,Copa del Rey,
2008-08-25,Conquense,Cádiz,3-2,3,2,2008-09,Copa del Rey,
2008-08-25,Ponferradina,Racing Ferrol,1-0,1,0,2008-09,Copa del Rey,
2008-08-25,San Fernando,Poli Ejido,0-3,0,3,2008-09,Copa del Rey,
2008-08-26,Izarra,Gavà,0-1,0,1,2008-09,Copa del Rey,
2008-08-27,Barakaldo,Gimnástica,2-0,2,0,2008-09,Copa del Rey,
2008-08-27,Ciudad de Santiago,Portugalete,0-1,0,1,2008-09,Copa del Rey,
2008-08-27,Linares,Écija,1-2,1,2,2008-09,Copa del Rey,
2008-08-27,Melilla,Ceuta,2-1,2,1,2008-09,Copa del Rey,
2008-08-27,Orihuela,Atlético Baleares,2-0,2,0,2008-09,Copa del Rey,
2008-08-27,Toledo,Granada,3-1,3,1,2008-09,Copa del Rey,
2008-08-27,Universidad de Las Palmas,Ciempozuelos,1-0,1,0,2008-09,Copa del Rey,
2008-08-28,Alfaro,Águilas,1-0,1,0,2008-09,Copa del Rey,
2008-08-28,Atlético Granadilla,Don Benito,0-1,0,1,2008-09,Copa del Rey,
2008-08-28,Ejea,Alzira,1-3,1,3,2008-09,Copa del Rey,
2008-08-28,Lugo,Real Unión,0-3,0,3,2008-09,Copa del Rey,
2008-08-28,Roquetas,Atlético Ciudad,1-0,1,0,2008-09,Copa del Rey,
2008-08-28,Sant Andreu,Mirandés,2-1,2,1,2008-09,Copa del Rey,
2008-09-03,Alfaro,Don Benito,1-2,1,2,2008-09,Copa del Rey,
2008-09-03,Alzira,Granada 74,0-0,0,0,2008-09,Copa del Rey,Granada 74
2008-09-03,Barakaldo,Roquetas,1-0,1,0,2008-09,Copa del Rey,
2008-09-03,Benidorm,Lemona,4-2,4,2,2008-09,Copa del Rey,
2008-09-03,Castellón,Eibar,1-0,1,0,2008-09,Copa del Rey,
2008-09-03,Elche,Alavés,2-0,2,0,2008-09,Copa del Rey,
